eid,auto_label
2-s2.0-85077976956,Physics
2-s2.0-85060936020,Physics
2-s2.0-85052201238,Physics
2-s2.0-85051498032,Physics
2-s2.0-85050678366,Physics
2-s2.0-85059846549,Computer Science
2-s2.0-85053455291,Health
2-s2.0-85078621193,Physics
2-s2.0-85061529820,Computer Science
2-s2.0-85058878790,Physics
2-s2.0-85053749794,Physics
2-s2.0-85060970184,Computer Science
2-s2.0-85061895439,Computer Science
2-s2.0-85059849496,Physics
2-s2.0-85059562771,Physics
2-s2.0-85059516216,Biology
2-s2.0-85059160526,Physics
2-s2.0-85058392278,Physics
2-s2.0-85054885984,Physics
2-s2.0-85063732788,Computer Science
2-s2.0-85059484399,Physics
2-s2.0-85059480239,Physics
2-s2.0-85059476683,Physics
2-s2.0-85059474991,Physics
2-s2.0-85059473929,Physics
2-s2.0-85059465253,Physics
2-s2.0-85059463569,Physics
2-s2.0-85059461222,Physics
2-s2.0-85059452131,Physics
2-s2.0-85059450763,Physics
2-s2.0-85059450621,Physics
2-s2.0-85059443311,Physics
2-s2.0-85058918074,Biology
2-s2.0-85059409668,Physics
2-s2.0-85055723883,Physics
2-s2.0-85054676706,Computer Science
2-s2.0-85053840080,Physics
2-s2.0-85051292687,Biology
2-s2.0-85063505074,Computer Science
2-s2.0-85063429603,Computer Science
2-s2.0-85059112614,Physics
2-s2.0-85058475370,Physics
2-s2.0-85058983048,Computer Science
2-s2.0-85059290811,Physics
2-s2.0-85055499333,Physics
2-s2.0-85061839078,Computer Science
2-s2.0-85060496074,Computer Science
2-s2.0-85058647216,Physics
2-s2.0-85058622656,Physics
2-s2.0-85058320961,Biology
2-s2.0-85062801280,Computer Science
2-s2.0-85062797130,Computer Science
2-s2.0-85062255690,Physics
2-s2.0-85066101363,Health
2-s2.0-85066099543,Computer Science
2-s2.0-85066083201,Health
2-s2.0-85066078842,Health
2-s2.0-85059896348,Physics
2-s2.0-85058555067,Biology
2-s2.0-85066105607,Computer Science
2-s2.0-85060316344,Physics
2-s2.0-85060315563,Computer Science
2-s2.0-85060304153,Computer Science
2-s2.0-85060301990,Physics
2-s2.0-85060284558,Physics
2-s2.0-85060284222,Computer Science
2-s2.0-85060277158,Physics
2-s2.0-85058329914,Physics
2-s2.0-85060520670,Computer Science
2-s2.0-85058332469,Physics
2-s2.0-85057626112,Physics
2-s2.0-85057578970,Physics
2-s2.0-85152969667,Health
2-s2.0-85152957456,Physics
2-s2.0-85152950212,Physics
2-s2.0-85152926723,Physics
2-s2.0-85152923178,Physics
2-s2.0-85147427223,Biology
2-s2.0-85134033351,Computer Science
2-s2.0-85130690048,Physics
2-s2.0-85120882431,Computer Science
2-s2.0-85100201551,Physics
2-s2.0-85091699096,Computer Science
2-s2.0-85090293808,Computer Science
2-s2.0-85082684208,Health
2-s2.0-85076352482,Computer Science
2-s2.0-85076340852,Computer Science
2-s2.0-85076335862,Computer Science
2-s2.0-85071461260,Computer Science
2-s2.0-85070861352,Physics
2-s2.0-85070812664,Computer Science
2-s2.0-85070806504,Computer Science
2-s2.0-85069328095,Physics
2-s2.0-85067075989,Physics
2-s2.0-85064709833,Physics
2-s2.0-85063690066,Computer Science
2-s2.0-85063522895,Biology
2-s2.0-85061602467,Physics
2-s2.0-85060882963,Computer Science
2-s2.0-85060856625,Biology
2-s2.0-85060664134,Health
2-s2.0-85060222612,Health
2-s2.0-85060162536,Physics
2-s2.0-85059675381,Physics
2-s2.0-85059639710,Physics
2-s2.0-85059609200,Physics
2-s2.0-85059566810,Biology
2-s2.0-85059556193,Physics
2-s2.0-85059533501,Physics
2-s2.0-85059500714,Biology
2-s2.0-85059477183,Physics
2-s2.0-85059460372,Physics
2-s2.0-85059273699,Physics
2-s2.0-85059259196,Physics
2-s2.0-85059255766,Physics
2-s2.0-85059248986,Physics
2-s2.0-85059230299,Biology
2-s2.0-85059213990,Health
2-s2.0-85059087917,Physics
2-s2.0-85058935797,Computer Science
2-s2.0-85058926637,Biology
2-s2.0-85058917460,Physics
2-s2.0-85058915984,Physics
2-s2.0-85058885422,Health
2-s2.0-85058819617,Physics
2-s2.0-85058790064,Physics
2-s2.0-85058742898,Health
2-s2.0-85058716387,Computer Science
2-s2.0-85058472015,Physics
2-s2.0-85058457964,Biology
2-s2.0-85058453548,Physics
2-s2.0-85058382112,Biology
2-s2.0-85058362649,Computer Science
2-s2.0-85058160421,Physics
2-s2.0-85057868138,Physics
2-s2.0-85057601344,Computer Science
2-s2.0-85057554441,Computer Science
2-s2.0-85057539530,Health
2-s2.0-85057420667,Computer Science
2-s2.0-85057321973,Physics
2-s2.0-85057237051,Health
2-s2.0-85057147112,Biology
2-s2.0-85057083547,Health
2-s2.0-85056844710,Physics
2-s2.0-85056802291,Physics
2-s2.0-85056695606,Physics
2-s2.0-85056354694,Physics
2-s2.0-85056353082,Computer Science
2-s2.0-85056335704,Health
2-s2.0-85056276634,Physics
2-s2.0-85056265944,Health
2-s2.0-85056261357,Physics
2-s2.0-85056200000,Physics
2-s2.0-85056162378,Biology
2-s2.0-85055877820,Physics
2-s2.0-85055710234,Biology
2-s2.0-85055624059,Biology
2-s2.0-85055561549,Health
2-s2.0-85055491350,Computer Science
2-s2.0-85055205421,Biology
2-s2.0-85055199276,Computer Science
2-s2.0-85055080877,Physics
2-s2.0-85055049678,Computer Science
2-s2.0-85055028853,Computer Science
2-s2.0-85054876704,Physics
2-s2.0-85054801027,Health
2-s2.0-85054643077,Computer Science
2-s2.0-85054621002,Physics
2-s2.0-85054588423,Physics
2-s2.0-85054584634,Physics
2-s2.0-85054443060,Physics
2-s2.0-85054308952,Biology
2-s2.0-85054194780,Physics
2-s2.0-85054184001,Physics
2-s2.0-85054140369,Health
2-s2.0-85053893979,Health
2-s2.0-85053832338,Biology
2-s2.0-85053831669,Health
2-s2.0-85053619106,Physics
2-s2.0-85053495818,Physics
2-s2.0-85053492921,Health
2-s2.0-85053439955,Computer Science
2-s2.0-85053423390,Biology
2-s2.0-85053401902,Physics
2-s2.0-85053189146,Physics
2-s2.0-85053174978,Physics
2-s2.0-85053081646,Biology
2-s2.0-85053010803,Health
2-s2.0-85052987188,Physics
2-s2.0-85052985058,Physics
2-s2.0-85052852129,Physics
2-s2.0-85052757960,Physics
2-s2.0-85052749282,Health
2-s2.0-85052727555,Computer Science
2-s2.0-85052652006,Computer Science
2-s2.0-85052635594,Physics
2-s2.0-85052488654,Physics
2-s2.0-85052472790,Physics
2-s2.0-85052374832,Computer Science
2-s2.0-85052213936,Physics
2-s2.0-85051824569,Physics
2-s2.0-85051757660,Biology
2-s2.0-85051683221,Physics
2-s2.0-85051652467,Physics
2-s2.0-85051400106,Physics
2-s2.0-85051199297,Physics
2-s2.0-85051180271,Health
2-s2.0-85051023165,Health
2-s2.0-85050850597,Computer Science
2-s2.0-85050803032,Computer Science
2-s2.0-85050662074,Physics
2-s2.0-85050656313,Physics
2-s2.0-85050539220,Health
2-s2.0-85050468889,Physics
2-s2.0-85050458654,Physics
2-s2.0-85050132605,Health
2-s2.0-85049950224,Physics
2-s2.0-85049352978,Physics
2-s2.0-85048987782,Physics
2-s2.0-85048803316,Computer Science
2-s2.0-85048567058,Physics
2-s2.0-85048009800,Physics
2-s2.0-85047873668,Physics
2-s2.0-85047738612,Physics
2-s2.0-85047635337,Physics
2-s2.0-85047370082,Physics
2-s2.0-85047222753,Physics
2-s2.0-85047221923,Physics
2-s2.0-85047085444,Physics
2-s2.0-85047069081,Physics
2-s2.0-85047013666,Physics
2-s2.0-85046658445,Physics
2-s2.0-85046396881,Physics
2-s2.0-85046342744,Physics
2-s2.0-85046033651,Computer Science
2-s2.0-85045977629,Physics
2-s2.0-85045899073,Physics
2-s2.0-85045404571,Physics
2-s2.0-85044978366,Physics
2-s2.0-85044773884,Biology
2-s2.0-85044574720,Physics
2-s2.0-85044545374,Biology
2-s2.0-85044043279,Biology
2-s2.0-85043975323,Physics
2-s2.0-85042115713,Physics
2-s2.0-85041852469,Physics
2-s2.0-85041696827,Physics
2-s2.0-85041534447,Physics
2-s2.0-85037734965,Computer Science
2-s2.0-85018465432,Biology
2-s2.0-84946771902,Computer Science
2-s2.0-85068981951,Biology
2-s2.0-85061919665,Health
2-s2.0-85058772752,Physics
2-s2.0-85055711737,Biology
2-s2.0-85057986772,Physics
2-s2.0-85057790514,Computer Science
2-s2.0-85081041957,Physics
2-s2.0-85079063133,Physics
2-s2.0-85060047287,Computer Science
2-s2.0-85060044375,Physics
2-s2.0-85060027156,Computer Science
2-s2.0-85060019355,Computer Science
2-s2.0-85059979876,Computer Science
2-s2.0-85058487456,Biology
2-s2.0-85060053075,Computer Science
2-s2.0-85059897171,Biology
2-s2.0-85058680496,Physics
2-s2.0-85057074670,Physics
2-s2.0-85056355088,Computer Science
2-s2.0-85056148744,Physics
2-s2.0-85059965712,Computer Science
2-s2.0-85057147051,Physics
2-s2.0-85057037052,Computer Science
2-s2.0-85038030583,Physics
2-s2.0-85044392724,Computer Science
2-s2.0-85029605828,Physics
2-s2.0-85057568646,Physics
2-s2.0-85057563356,Physics
2-s2.0-85057541176,Physics
2-s2.0-85057522094,Physics
2-s2.0-85055500593,Physics
2-s2.0-85055027807,Physics
2-s2.0-85052468709,Physics
2-s2.0-85051952905,Physics
2-s2.0-85057781904,Biology
2-s2.0-85056577463,Health
2-s2.0-85056615077,Physics
2-s2.0-85058433758,Computer Science
2-s2.0-85056159676,Physics
2-s2.0-85066101032,Computer Science
2-s2.0-85066074915,Computer Science
2-s2.0-85057461681,Physics
2-s2.0-85048018727,Computer Science
2-s2.0-85061255485,Computer Science
2-s2.0-85058182042,Computer Science
2-s2.0-85058151306,Computer Science
2-s2.0-85054896135,Health
2-s2.0-85054660492,Health
2-s2.0-85053520746,Health
2-s2.0-85053064499,Computer Science
2-s2.0-85049622017,Computer Science
2-s2.0-85045183447,Physics
2-s2.0-85040983639,Biology
2-s2.0-85014680436,Physics
2-s2.0-85099332033,Physics
2-s2.0-85073096098,Physics
2-s2.0-85067553955,Computer Science
2-s2.0-85065796712,Biology
2-s2.0-85065766139,Biology
2-s2.0-85065706097,Physics
2-s2.0-85064818858,Computer Science
2-s2.0-85062909559,Physics
2-s2.0-85062870801,Health
2-s2.0-85062859793,Physics
2-s2.0-85062828079,Computer Science
2-s2.0-85061600349,Computer Science
2-s2.0-85060619196,Biology
2-s2.0-85060184892,Health
2-s2.0-85060182074,Health
2-s2.0-85060171991,Health
2-s2.0-85060155244,Health
2-s2.0-85060154185,Health
2-s2.0-85060153998,Health
2-s2.0-85060138865,Health
2-s2.0-85060137555,Computer Science
2-s2.0-85059814699,Physics
2-s2.0-85059088318,Physics
2-s2.0-85058970928,Physics
2-s2.0-85058859473,Computer Science
2-s2.0-85058623941,Physics
2-s2.0-85058596004,Biology
2-s2.0-85058381356,Biology
2-s2.0-85058116831,Physics
2-s2.0-85058100356,Physics
2-s2.0-85058085831,Physics
2-s2.0-85058014588,Physics
2-s2.0-85057959005,Health
2-s2.0-85057607480,Biology
2-s2.0-85057583776,Computer Science
2-s2.0-85057553040,Physics
2-s2.0-85057479730,Physics
2-s2.0-85057130234,Physics
2-s2.0-85057108057,Health
2-s2.0-85057105148,Biology
2-s2.0-85057062010,Physics
2-s2.0-85057052585,Computer Science
2-s2.0-85057051168,Physics
2-s2.0-85056995413,Physics
2-s2.0-85056990727,Health
2-s2.0-85056909440,Physics
2-s2.0-85056891474,Computer Science
2-s2.0-85056825187,Physics
2-s2.0-85056665324,Health
2-s2.0-85056647097,Physics
2-s2.0-85056625659,Physics
2-s2.0-85056582046,Physics
2-s2.0-85056580621,Physics
2-s2.0-85056327098,Physics
2-s2.0-85056320658,Physics
2-s2.0-85056113406,Biology
2-s2.0-85056086302,Health
2-s2.0-85056078948,Physics
2-s2.0-85056065681,Computer Science
2-s2.0-85055911435,Physics
2-s2.0-85055883510,Biology
2-s2.0-85055855547,Biology
2-s2.0-85055635710,Health
2-s2.0-85055613281,Biology
2-s2.0-85055172748,Biology
2-s2.0-85055140843,Physics
2-s2.0-85054848853,Physics
2-s2.0-85054514701,Health
2-s2.0-85054357149,Physics
2-s2.0-85054071137,Physics
2-s2.0-85053778287,Physics
2-s2.0-85053766443,Physics
2-s2.0-85053657250,Computer Science
2-s2.0-85053477724,Physics
2-s2.0-85053448876,Biology
2-s2.0-85053448002,Physics
2-s2.0-85053213055,Health
2-s2.0-85053162680,Health
2-s2.0-85053138583,Biology
2-s2.0-85053105673,Physics
2-s2.0-85053082050,Biology
2-s2.0-85052856391,Physics
2-s2.0-85052617324,Biology
2-s2.0-85052367445,Physics
