Country,latitude,longitude
Thailand,15.0,100.0
United States,38.0,-97.0
Thailand,15.0,100.0
United States,38.0,-97.0
United States,38.0,-97.0
United States,38.0,-97.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Japan,36.0,138.0
Japan,36.0,138.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
United States,38.0,-97.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
United States,38.0,-97.0
United States,38.0,-97.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
China,35.0,105.0
Thailand,15.0,100.0
China,35.0,105.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
United States,38.0,-97.0
United States,38.0,-97.0
Japan,36.0,138.0
Thailand,15.0,100.0
United Kingdom,54.0,-2.0
United States,38.0,-97.0
United States,38.0,-97.0
United States,38.0,-97.0
United States,38.0,-97.0
United States,38.0,-97.0
United States,38.0,-97.0
United States,38.0,-97.0
United Arab Emirates,24.0,54.0
United States,38.0,-97.0
United States,38.0,-97.0
Russian Federation,60.0,100.0
United Kingdom,54.0,-2.0
United Kingdom,54.0,-2.0
China,35.0,105.0
Brazil,-10.0,-55.0
Brazil,-10.0,-55.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
United Kingdom,54.0,-2.0
United States,38.0,-97.0
New Zealand,-41.0,174.0
Sweden,62.0,15.0
United States,38.0,-97.0
Thailand,15.0,100.0
United States,38.0,-97.0
China,35.0,105.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Chile,-30.0,-71.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Indonesia,-5.0,120.0
Thailand,15.0,100.0
Belgium,50.8333,4.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Malaysia,2.5,112.5
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Slovakia,48.6667,19.5
Thailand,15.0,100.0
Thailand,15.0,100.0
Thailand,15.0,100.0
Armenia,40.0,45.0
Austria,47.3333,13.3333
Belarus,53.0,28.0
Belgium,50.8333,4.0
Belgium,50.8333,4.0
Belgium,50.8333,4.0
Belgium,50.8333,4.0
Belgium,50.8333,4.0
Brazil,-10.0,-55.0
Brazil,-10.0,-55.0
Brazil,-10.0,-55.0
Brazil,-10.0,-55.0
Bulgaria,43.0,25.0
Bulgaria,43.0,25.0
China,35.0,105.0
China,35.0,105.0
China,35.0,105.0
China,35.0,105.0
Colombia,4.0,-72.0
Croatia,45.1667,15.5
Croatia,45.1667,15.5
Croatia,45.1667,15.5
Cyprus,35.0,33.0
Czech Republic,49.75,15.5
Ecuador,-2.0,-77.5
Egypt,27.0,30.0
Estonia,59.0,26.0
Finland,64.0,26.0
Finland,64.0,26.0
Finland,64.0,26.0
France,46.0,2.0
France,46.0,2.0
France,46.0,2.0
France,46.0,2.0
France,46.0,2.0
Georgia,42.0,43.5
Georgia,42.0,43.5
Germany,51.0,9.0
Germany,51.0,9.0
Germany,51.0,9.0
Germany,51.0,9.0
Germany,51.0,9.0
Germany,51.0,9.0
Greece,39.0,22.0
Greece,39.0,22.0
Greece,39.0,22.0
Greece,39.0,22.0
Hungary,47.0,20.0
Hungary,47.0,20.0
Hungary,47.0,20.0
Hungary,47.0,20.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
India,20.0,77.0
Iran,32.0,53.0
Ireland,53.0,-8.0
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
Italy,42.8333,12.8333
South Korea,40.0,127.0
South Korea,40.0,127.0
South Korea,40.0,127.0
South Korea,40.0,127.0
South Korea,40.0,127.0
South Korea,40.0,127.0
South Korea,40.0,127.0
Lithuania,56.0,24.0
Malaysia,2.5,112.5
Mexico,23.0,-102.0
Mexico,23.0,-102.0
Mexico,23.0,-102.0
Mexico,23.0,-102.0
New Zealand,-41.0,174.0
New Zealand,-41.0,174.0
Pakistan,30.0,70.0
Poland,52.0,20.0
Poland,52.0,20.0
Portugal,39.5,-8.0
Russian Federation,60.0,100.0
Russian Federation,60.0,100.0
Russian Federation,60.0,100.0
Russian Federation,60.0,100.0
