title,field
"Jaundice, fever and anaemia: when to avoid the cold",Medicine
Nanosystems Applied to HIV Infection: Prevention and Treatments,Immunology and Microbiology
Model and Algorithm for Dependent Activity Schedule Optimization Combining with BIM,"Business, Management and Accounting"
Evaluation of BER for the EHF Communication System Serving Sharp-Coned Reentry Vehicles,Physics and Astronomy
Human rabies despite post-exposure prophylaxis: a systematic review of fatal breakthrough infections after zoonotic exposures,Immunology and Microbiology
Changes in BNR Microbial Community in Response to Different Selection Pressure,Environmental Science
Does the allocation of property rights matter in the commons?,Social Sciences
Non-exotic wormholes in 4D Einstein–Gauss–Bonnet gravity,Physics and Astronomy
THE PERFORMANCE OF INTERNATIONAL COURTS AND TRIBUNALS,"Business, Management and Accounting"
Identification of MicroRNA Related to the CD34+ Cell Fraction of Cord Blood Stem Cells,Medicine
Performance of a Qualitative Point-of-Care Strip Test to Detect DOAC Exposure at the Emergency Department: A Cohort-Type Cross-Sectional Diagnostic Accuracy Study,Medicine
The efficacy and safety of moxibustion for chemotherapy-induced gastrointestinal adverse reaction,Medicine
Design and simulation of a novel solar photovoltaic system assisted single‐slope solar still distillation unit,Energy
THE CONCEPT OF DIFFERENTIATED LEARNING: ELEMENTARY SCHOOL LEARNING DIVERSITY SOLUTION,Social Sciences
A nurse‐led FibroScan<sup>®</sup> outreach clinic encourages socially deprived heavy drinkers to engage with liver services,Medicine
Decomposition of molecular properties,Chemistry
"Commentary: NO matter what you call it, “conditioning” the spinal cord preventing paraplegia is worthwhile",Medicine
A Generic Model for Identifying QoS Parameters Interrelations in Cloud Services Selection Ontology during Runtime,Computer Science
Synthesis and Properties of Optically Transparent Fluoro-Containing Polyimide Films with Reduced Linear Coefficients of Thermal Expansion from Organo-Soluble Resins Derived from Aromatic Diamine with Benzanilide Units,Materials Science
"Fibrogenic Secretome of Sirtuin 1-Deficient Endothelial Cells: Wnt, Notch and Glycocalyx Rheostat",Medicine
The Predictive Value of Urinary Progesterone Metabolite PdG Testing in Pregnancy Outcomes,Agricultural and Biological Sciences
Phenotypic association of seven observed traits of hand complex,"Biochemistry, Genetics and Molecular Biology"
"Tepotinib Inhibits the Epithelial–Mesenchymal Transition and Tumor Growth of Gastric Cancers by Increasing GSK3β, E-Cadherin, and Mucin 5AC and 6 Levels","Biochemistry, Genetics and Molecular Biology"
Myelodysplastic Syndromes (MDS) &amp; COVID-19: Clinical Experience from the US Epicenter of the Pandemic,Medicine
Hospital patients’ perspectives on what is essential to enable optimal palliative care: A qualitative study,Medicine
"Infrared Spectroscopy and Microorganisms Associated with African Nutmeg (Monodora myristica) Seeds Sold in a Municipal Market in Imo State, Nigeria",Medicine
Linguistic validation of a widely used Recovery Score: Quality of Recovery-15,Health Professions
Mimicry of Dopamine 1 Receptor Signaling with Cell-Penetrating Peptides,"Biochemistry, Genetics and Molecular Biology"
Assessment of the influence of intermittent ischemic compression of latent trigger points on changes on the range of the lumbar spine mobility and myoelectric changes in the dorsal extensor muscle,"Biochemistry, Genetics and Molecular Biology"
On the Countering of Free Vibrations by Forcing: Part II—Damped Oscillations and Decaying Forcing,Engineering
A double-tracer radioisotope approach to assess simultaneous bioaccumulation of caesium in the olive flounder Paralichthys olivaceus,Environmental Science
Correction: The impact of health education interventions on oral health promotion among older people: a systematic review,Dentistry
CFD Study of High-Speed Train in Crosswinds for Large Yaw Angles with RANS-Based Turbulence Models including GEKO Tuning Approach,Engineering
The Influence of Condensing Temperature on the Efficiency of Solar Power Systems with ORC,Engineering
The First Indo-Aryan Readings “Modern Indo-Aryan Studies in the Eastern European Ethnic History Research” Took Place,Social Sciences
Conversion of waste biomass to designed and tailored activated chars with valuable properties for adsorption and electrochemical applications,Materials Science
The higher dimensional Myers–Perry black hole with single rotation always obeys the cosmic censorship conjecture,Physics and Astronomy
Proust théoricien et romancier de la passion: un héritage de l’enseignement philosophique contemporain,Arts and Humanities
A Portable Sensor for Skin Bioimpedance Measurements,Medicine
Populations as Fluid on a Landscape Under Global Environmental Change,Environmental Science
Measures of <i>Prägnanz?</i>,Neuroscience
TSF-transformer: a time series forecasting model for exhaust gas emission using transformer,Engineering
THE INFLUENCE OF The CONSTRUC-TIVE FEATURES ON THE STRESS-STRAIN STATE OF SPECIAL SHELL SYSTEMS,Engineering
APPLICATION OF UAV OBLIQUE PHOTOGRAPHY IN REAL SCENE 3D MODELING,Environmental Science
Characterization of the Aquaporin-9 Inhibitor RG100204 In Vitro and in db/db Mice,"Biochemistry, Genetics and Molecular Biology"
Integrative biology of native cell extracts: a new era for structural characterization of life processes,"Biochemistry, Genetics and Molecular Biology"
Jacques Copeau,Arts and Humanities
EVALUATION OF SOME CUCUMBER HYBRIDS (CUCUMIS SATIVUS L.) FOR QUALITY TRAITS,"Biochemistry, Genetics and Molecular Biology"
"Cover Image, Volume 29, Issue 11","Biochemistry, Genetics and Molecular Biology"
Analysis of membrane fouling by Brunauer-Emmett-Teller nitrogen adsorption/desorption technique,Environmental Science
RESEPSI AL-QURˋAN DALAM ANIMASI RIKO THE SERIES DI YOU TOBE: KAJIAN LIVING QURˋAN DI MEDIA SOSIAL,Social Sciences
Early prevention and risk factors analysis of portal vein system thrombosis after laparoscopic splenectomy and pericardial devascularization,Medicine
Theoretical approaches to the study of the models of behavior of political elites,Social Sciences
How rests and cyclic sequences influence performance in tone-scramble tasks,Neuroscience
Corrigendum to “Serial Changes of Neointimal Tissue after Everolimus-Eluting Stent Implantation in Porcine Coronary Artery: An Optical Coherence Tomography Analysis”,Medicine
The skyline as a subject of protection of a historical settlement (on the example of St. Petersburg),Social Sciences
"Implementation of Vocational Skills Program for Intellectual Disabilities: Evaluation Study with CIPP (Context, Input, Process, Product)",Social Sciences
Secrecy outage of a multi‐relay cooperative communication network with accumulation of harvesting energy at relays,Engineering
The Impact of Trade Deficits and the Burden of Crisis Oriented Economy on the Livelihoods of Nepali People,Social Sciences
Improving Reporting of Clinical Studies Using the POSEIDON Criteria: POSORT Guidelines,Medicine
AN ANALYSIS OF INDIA'S AGRICULTURAL SECTOR: CHALLENGES AND OPPORTUNITIES,Medicine
Canonical Transformation of Potential Model Hamiltonian Mechanics to Geometrical Form I,Physics and Astronomy
On the Properties Evolution of Eco-Material Dedicated to Manufacturing Artificial Reef via 3D Printing: Long-Term Interactions of Cementitious Materials in the Marine Environment,Engineering
Cloud cover amplifies the sleep-suppressing effect of artificial light at night in geese,Environmental Science
Ethical principles in machine learning and artificial intelligence: cases from the field and possible ways forward,Social Sciences
Stacking Ensemble Learning–Based [<sup>18</sup>F]FDG PET Radiomics for Outcome Prediction in Diffuse Large B-Cell Lymphoma,Medicine
When two tribes go to law: The Moral Foundations Theory and the Brexit negotiations,Neuroscience
Heat Shock Protein 90 (Hsp90)-Inhibitor-Luminespib-Loaded-Protein-Based Nanoformulation for Cancer Therapy,"Biochemistry, Genetics and Molecular Biology"
"Transgenic and knockout analyses of Masculinizer and doublesex illuminated the unique functions of doublesex in germ cell sexual development of the silkworm, Bombyx mori","Biochemistry, Genetics and Molecular Biology"
"Functional MRI: Basic Principles and Emerging Clinical Applications for Anesthesiology and the Neurologic Sciences, 1st Edition",Medicine
High Power All-Fiber Supercontinuum System Based on Graded-Index Multimode Fibers,Engineering
Hypertrophic Scar and Keloid - A Wound Complications,Medicine
Sciatic nerve tumoral infiltration: 18F-FDG PET/CT findings,Medicine
Impaired Knowledge of Social Norms in Dementia and Psychiatric Disorders: Validation of the Social Norms Questionnaire–Dutch Version (SNQ-NL),Arts and Humanities
