start_lat,start_lon,end_lat,end_lon
15.0,100.0,38.0,-97.0
38.0,-97.0,15.0,100.0
15.0,100.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,36.0,138.0
36.0,138.0,36.0,138.0
36.0,138.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,38.0,-97.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
35.0,105.0,15.0,100.0
15.0,100.0,35.0,105.0
15.0,100.0,15.0,100.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,36.0,138.0
36.0,138.0,15.0,100.0
15.0,100.0,54.0,-2.0
54.0,-2.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,24.0,54.0
24.0,54.0,38.0,-97.0
38.0,-97.0,38.0,-97.0
38.0,-97.0,60.0,100.0
60.0,100.0,54.0,-2.0
54.0,-2.0,54.0,-2.0
54.0,-2.0,35.0,105.0
35.0,105.0,-10.0,-55.0
-10.0,-55.0,-10.0,-55.0
15.0,100.0,15.0,100.0
54.0,-2.0,38.0,-97.0
38.0,-97.0,-41.0,174.0
-41.0,174.0,62.0,15.0
62.0,15.0,38.0,-97.0
38.0,-97.0,15.0,100.0
15.0,100.0,38.0,-97.0
35.0,105.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,-30.0,-71.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,-5.0,120.0
15.0,100.0,50.8333,4.0
15.0,100.0,15.0,100.0
15.0,100.0,2.5,112.5
2.5,112.5,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,15.0,100.0
15.0,100.0,48.6667,19.5
40.0,45.0,47.3333,13.3333
47.3333,13.3333,53.0,28.0
53.0,28.0,50.8333,4.0
50.8333,4.0,50.8333,4.0
50.8333,4.0,50.8333,4.0
50.8333,4.0,50.8333,4.0
50.8333,4.0,50.8333,4.0
50.8333,4.0,-10.0,-55.0
-10.0,-55.0,-10.0,-55.0
-10.0,-55.0,-10.0,-55.0
-10.0,-55.0,-10.0,-55.0
-10.0,-55.0,43.0,25.0
43.0,25.0,43.0,25.0
43.0,25.0,35.0,105.0
35.0,105.0,35.0,105.0
35.0,105.0,35.0,105.0
35.0,105.0,35.0,105.0
35.0,105.0,4.0,-72.0
4.0,-72.0,45.1667,15.5
45.1667,15.5,45.1667,15.5
45.1667,15.5,45.1667,15.5
45.1667,15.5,35.0,33.0
35.0,33.0,49.75,15.5
49.75,15.5,-2.0,-77.5
-2.0,-77.5,27.0,30.0
27.0,30.0,59.0,26.0
59.0,26.0,64.0,26.0
64.0,26.0,64.0,26.0
64.0,26.0,64.0,26.0
64.0,26.0,46.0,2.0
46.0,2.0,46.0,2.0
46.0,2.0,46.0,2.0
46.0,2.0,46.0,2.0
46.0,2.0,46.0,2.0
46.0,2.0,42.0,43.5
42.0,43.5,42.0,43.5
42.0,43.5,51.0,9.0
51.0,9.0,51.0,9.0
51.0,9.0,51.0,9.0
51.0,9.0,51.0,9.0
51.0,9.0,51.0,9.0
51.0,9.0,51.0,9.0
51.0,9.0,39.0,22.0
39.0,22.0,39.0,22.0
39.0,22.0,39.0,22.0
39.0,22.0,39.0,22.0
39.0,22.0,47.0,20.0
47.0,20.0,47.0,20.0
47.0,20.0,47.0,20.0
47.0,20.0,47.0,20.0
47.0,20.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,20.0,77.0
20.0,77.0,32.0,53.0
32.0,53.0,53.0,-8.0
53.0,-8.0,42.8333,12.8333
42.8333,12.8333,42.8333,12.8333
42.8333,12.8333,42.8333,12.8333
42.8333,12.8333,42.8333,12.8333
42.8333,12.8333,42.8333,12.8333
42.8333,12.8333,42.8333,12.8333
42.8333,12.8333,42.8333,12.8333
